Log file created on 2020-01-16 15:31:57.143428

aug : None
aug_size : 50000
batch_size : 128
dataset : cifar100
device : cuda:0
epochs : 600
learning_rate : 0.1
lr_decay_epochs : [200, 300, 400, 500]
lr_decay_rate : 0.1
model : resnet20
model_name : resnet20_cifar100_lr_0.1_decay_0.0005_trial_0_cuda
model_path : ./save/models_t
momentum : 0.9
num_workers : 8
print_freq : 50
save_folder : ./save/models_t/resnet20_cifar100_lr_0.1_decay_0.0005_trial_0_cuda
save_freq : 40
tb_freq : 500
trial : 0
weight_decay : 0.0005

Epoch: 41, l_xent: 1.5790, l_kd: 0.0000, l_other: 0.0000, acc_train: 55.72, acc_test: 46.82, acc_test_best: 48.19, lr: 0.099949, time: 2020-01-16 15:39:43.757719
Epoch: 42, l_xent: 1.5768, l_kd: 0.0000, l_other: 0.0000, acc_train: 55.62, acc_test: 48.70, acc_test_best: 48.19, lr: 0.099949, time: 2020-01-16 15:39:55.375099
Epoch: 43, l_xent: 1.5736, l_kd: 0.0000, l_other: 0.0000, acc_train: 55.74, acc_test: 43.85, acc_test_best: 48.70, lr: 0.099949, time: 2020-01-16 15:40:07.085373
Epoch: 44, l_xent: 1.5723, l_kd: 0.0000, l_other: 0.0000, acc_train: 55.92, acc_test: 43.39, acc_test_best: 48.70, lr: 0.099949, time: 2020-01-16 15:40:18.784763
Epoch: 45, l_xent: 1.5628, l_kd: 0.0000, l_other: 0.0000, acc_train: 55.85, acc_test: 44.31, acc_test_best: 48.70, lr: 0.099949, time: 2020-01-16 15:40:30.605073
Epoch: 46, l_xent: 1.5590, l_kd: 0.0000, l_other: 0.0000, acc_train: 55.90, acc_test: 45.95, acc_test_best: 48.70, lr: 0.099949, time: 2020-01-16 15:40:42.510905
Epoch: 47, l_xent: 1.5695, l_kd: 0.0000, l_other: 0.0000, acc_train: 55.61, acc_test: 46.98, acc_test_best: 48.70, lr: 0.099949, time: 2020-01-16 15:40:54.147080
Epoch: 48, l_xent: 1.5679, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.02, acc_test: 46.53, acc_test_best: 48.70, lr: 0.099949, time: 2020-01-16 15:41:05.916432
Epoch: 49, l_xent: 1.5492, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.25, acc_test: 46.06, acc_test_best: 48.70, lr: 0.099949, time: 2020-01-16 15:41:17.534491
Epoch: 50, l_xent: 1.5564, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.18, acc_test: 46.90, acc_test_best: 48.70, lr: 0.099949, time: 2020-01-16 15:41:29.079912
Epoch: 51, l_xent: 1.5546, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.17, acc_test: 47.51, acc_test_best: 48.70, lr: 0.099949, time: 2020-01-16 15:41:40.717108
Epoch: 52, l_xent: 1.5514, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.21, acc_test: 50.95, acc_test_best: 48.70, lr: 0.099949, time: 2020-01-16 15:41:52.380655
Epoch: 53, l_xent: 1.5419, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.36, acc_test: 44.92, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:42:04.066898
Epoch: 54, l_xent: 1.5489, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.44, acc_test: 44.80, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:42:15.689328
Epoch: 55, l_xent: 1.5332, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.70, acc_test: 44.22, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:42:27.334735
Epoch: 56, l_xent: 1.5461, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.50, acc_test: 43.01, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:42:38.932911
Epoch: 57, l_xent: 1.5499, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.05, acc_test: 46.23, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:42:50.629475
Epoch: 58, l_xent: 1.5393, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.58, acc_test: 48.16, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:43:02.272990
Epoch: 59, l_xent: 1.5410, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.52, acc_test: 47.52, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:43:13.989299
Epoch: 60, l_xent: 1.5373, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.81, acc_test: 47.06, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:43:25.733860
Epoch: 61, l_xent: 1.5404, l_kd: 0.0000, l_other: 0.0000, acc_train: 56.47, acc_test: 42.37, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:43:37.375893
